FID,X,Y,MODIS LSAT (Reference),L8 LSAT Estimates
1,34.30231,-0.136,20.5531559,19.2531559
2,34.39716,-0.28705,30.6280708,30.0280454
3,34.49201,-0.33787,33.4792519,32.479519
4,34.58686,-0.32962,17.3820229,18.620229
5,34.68171,-0.51776,23.697389,25.983292
6,34.77656,-0.2749733,24.6757389,22.099722
7,34.6883,-0.136,25.8262291,28.672397
8,34.8431,-0.28705,32.192482,31.782982
9,34.6333,-0.33787,26.7712193,27.716781
10,34.1963,-0.32962,27.0684681,26.0684481
11,34.445,-0.51776,30.1888885,30.7987151
12,34.5773,-0.2749733,24.7814922,24.2214922
13,34.6762,-0.2664918,27.9735985,25.7815781
14,34.76276,-0.1754863,25.6154175,26.0124175
15,34.67268,-0.14808,19.8738117,20.9871896
16,34.23748,-0.1934752,22.8110428,21.6735573
17,34.3367,-0.1246985,24.3831978,24.7876385
18,34.22563,-0.2559218,23.2139473,21.6527897
19,34.7635,-0.128549,20.3614979,21.3614979
20,34.45276,-0.2816316,30.2175312,27.2872862
21,34.345289,-0.1504083,22.3694763,22.9862453
22,34.81456,-0.219185,21.0827217,22.7652746
23,34.3365,-0.2879617,24.7136602,22.71366
24,34.34562,-0.23567384,26.6833458,28.7627572
25,34.52675,-0.26409568,23.1811638,23.8968926
26,34.5672,-0.27234,28.3718758,28.6757247
27,34.67734,-0.28058,25.3698616,27.9872681
28,34.452745,-0.28667,27.2672768,27.7891709
29,34.34366,-0.136,25.6752752,25.2849062
30,34.452567,-0.28705,20.4146805,20.7881581
31,34.6834,-0.33787,23.4221497,20.8827872
32,34.675372,-0.32962,20.6123867,20.612286
33,34.34627,-0.51776,19.7556686,18.5642622
34,34.22376,-0.2749733,27.352726,24.7652742
35,34.16782,-0.2664918,22.5919514,21.2264722
36,34.56993,-0.1754863,19.7508106,20.1392828
37,34.45237,-0.14808,29.3428097,29.3428097
38,34.4543,-0.1934752,22.4241199,23.4201199
39,34.675628,-0.1246985,21.3120548,22.540868
40,34.782678,-0.2559218,22.8923988,22.1923988
41,34.8776235,-0.128549,25.1595917,23.225917
42,34.4377,-0.2816316,24.381546,23.2338153
43,34.56543,-0.1504083,24.6934929,22.6934929
44,34.6274,-0.219185,24.2780361,24.2780361
45,34.73321,-0.2879617,24.1544456,24.1540956
46,34.2806,-0.23567384,27.2988873,27.2984873
47,34.2291,-0.26409568,29.6113853,27.613542
48,34.1776,-0.27234,24.289875,23.557345
49,34.11261,-0.28058,26.9723622,27.175222
50,34.20746,-0.28667,25.9610672,22.7610672
51,34.30231,-0.136,20.5531559,19.2531559
52,34.39716,-0.28705,30.6280708,30.0280454
53,34.49201,-0.33787,27.4792519,27.4702219
54,34.58686,-0.32962,17.3820229,18.620229
55,34.68171,-0.51776,20.697389,20.98292
56,34.77656,-0.2749733,24.6757389,24.099222
57,34.6883,-0.136,25.8262291,28.672397
58,34.8431,-0.28705,32.192482,30.782982
59,34.6333,-0.33787,32.7712193,31.716781
60,34.1963,-0.32962,27.0684681,27.0674681
61,34.445,-0.51776,30.1888885,30.7987151
