Date,X,Y,S3 OLCI Chl-a (Reference),L8 Chl-a Estimates
07/01/2015,34.6883,-0.136,25.8262291,28.672397
,34.8431,-0.28705,32.192482,27.782982
,34.6333,-0.33787,20.7712193,27.716781
,34.1963,-0.32962,27.0684681,26.0084698
,34.445,-0.51776,30.1888885,29.7987151
,34.5773,-0.2749733,24.7814922,24.2214922
,34.6762,-0.2664918,27.9735985,25.7815781
,34.76276,-0.1754863,25.6154175,28.6094175
,34.67268,-0.14808,39.8738117,42.9871896
,34.23748,-0.1934752,22.8110428,22.6735573
,34.3367,-0.1246985,24.3831978,24.7876385
,34.22563,-0.2559218,43.2139473,43.6527897
,34.7635,-0.128549,21.3614979,21.3204979
,34.45276,-0.2816316,48.2175312,50.2872862
,34.345289,-0.1504083,22.3694763,25.9862453
,34.81456,-0.219185,21.0827217,22.7652746
,34.3365,-0.2879617,14.7136602,12.7130602
,34.34562,-0.23567384,26.6833458,28.78627572
,34.52675,-0.26409568,21.1811638,17.8968926
,34.5672,-0.27234,18.3718758,20.6757247
,34.67734,-0.28058,25.3698616,27.9872681
,34.452745,-0.28667,27.2672768,28.7891798
,34.34366,-0.136,25.6752752,24.2849062
,34.452567,-0.28705,20.4146805,20.78802181
,34.6834,-0.33787,23.4221497,20.8827872
,34.675372,-0.32962,20.6123867,20.61027867
,34.34627,-0.51776,15.7556686,16.5642622
,34.22376,-0.2749733,27.352726,24.7652742
,34.16782,-0.2664918,22.5919514,21.2264722
,34.56993,-0.1754863,19.7508106,20.992828
,34.45237,-0.14808,29.342097,29.3428
,34.4543,-0.1934752,11.4241199,13.4241019
,34.675628,-0.1246985,21.205408,23.5408688
,34.782678,-0.2559218,22.8923988,20.1920388
,34.8776235,-0.128549,25.1595917,23.225917
,34.4377,-0.2816316,30.381546,30.2338153
,34.56543,-0.1504083,24.6934929,24.69024929
,34.6274,-0.219185,34.24770361,34.2780361
,34.73321,-0.2879617,34.1544456,34.1540456
,34.2806,-0.23567384,45.2988873,44.2988587
,34.2291,-0.26409568,29.6113853,27.613542
,34.1776,-0.27234,39.212875,43.557345
,34.11261,-0.28058,36.92223622,37.175222
,34.20746,-0.28667,45.9610672,42.7610672
,34.30231,-0.136,20.5531559,19.2531559
,34.39716,-0.28705,23.77388,20.380454
,34.49201,-0.33787,13.4792519,12.4792519
,34.58686,-0.32962,17.3820229,18.620229
,34.68171,-0.51776,20.697389,2.98292
,34.77656,-0.2749733,24.6757389,24.099022
,34.4543,-0.1934752,11.4241199,13.4241019
,34.675628,-0.1246985,12.31205408,14.408688
,34.782678,-0.2559218,22.8923988,20.1923088
,34.8776235,-0.128549,25.1595917,23.225917
,34.4377,-0.2816316,0.381546,0.2338153
,34.56543,-0.1504083,14.6934929,12.6934929
,34.6274,-0.219185,24.27031,24.278
,34.73321,-0.2879617,8.1544456,5.1544456
,34.2806,-0.23567384,15.2988873,16.12089
,34.2291,-0.26409568,29.6113853,27.613542
,34.1776,-0.27234,24.289875,23.557345
,34.11261,-0.28058,6.92223622,7.175222
,34.20746,-0.28667,25.9610672,25.7610927
,34.30231,-0.136,20.5531559,19.253059
,34.39716,-0.28705,30.6280708,30.0280454
,34.49201,-0.33787,13.4792519,12.47091519
,34.58686,-0.32962,17.3820229,18.620229
,34.68171,-0.51776,20.697389,25.98292
,34.77656,-0.2749733,24.6757389,24.090722
,34.6883,-0.136,25.8262291,28.672397
,34.8431,-0.28705,28.042753,27.782982
,34.6333,-0.33787,20.7712193,20.49827
,34.1963,-0.32962,7.0684681,5.068046081
,34.445,-0.51776,30.1888885,30.1587151
,34.5773,-0.2749733,24.7814922,24.2214922
,34.6762,-0.2664918,27.9735985,25.7815781
,34.76276,-0.1754863,25.6154175,27.6754075
,34.67268,-0.14808,19.8738117,22.9871896
,34.23748,-0.1934752,22.8110428,22.887287
,34.3367,-0.1246985,24.3831978,24.7870385
,34.22563,-0.2559218,23.2139473,21.6527897
,34.7635,-0.128549,21.3614979,20.121889
,34.45276,-0.2816316,30.2175312,26.2872862
,34.345289,-0.1504083,22.3694763,25.9862453
,34.81456,-0.219185,21.0827217,22.7652746
,34.3365,-0.2879617,14.7136602,12.7136202
,34.34562,-0.23567384,26.6833458,28.78627572
,34.52675,-0.26409568,10.1811638,7.8968926
,34.5672,-0.27234,18.3718758,18.6757247
,34.67734,-0.28058,25.3698616,27.9872681
,34.452745,-0.28667,21.28727,21.7891798
,34.34366,-0.136,25.6752752,22.2849062
,34.452567,-0.28705,20.4146805,20.7801581
,34.6834,-0.33787,23.4221497,20.8827872
,34.675372,-0.32962,20.6123867,20.49827
,34.34627,-0.51776,15.7556686,16.5642622
,34.22376,-0.2749733,27.352726,24.7652742
,34.16782,-0.2664918,9.5919514,9.6264722
,34.56993,-0.1754863,19.7508106,20.992828
,34.45237,-0.14808,19.9813097,20.1587151
,34.4543,-0.1934752,11.4241199,13.4241299
