FID,X,Y,S3 OLCI Chl-a (Reference),L8 Chl-a Estimates
1,34.6883,-0.136,7.8262291,7.222397
2,34.8431,-0.28705,32.192482,27.552762
3,34.6333,-0.33787,24.7712193,24.716781
4,34.1963,-0.32962,27.0684681,22.0684681
5,34.445,-0.51776,28.1888885,24.7987151
6,34.5773,-0.2749733,24.1124922,24.7814922
7,34.6762,-0.2664918,17.9735985,15.8778282
8,34.76276,-0.1754863,29.6154175,31.186287
9,34.67268,-0.14808,19.8738117,22.9871896
10,34.23748,-0.1934752,22.8110428,31.6735573
11,34.3367,-0.1246985,25.3831978,29.7876385
12,34.22563,-0.2559218,20.2139473,20.6527897
13,34.7635,-0.128549,21.3614979,20.3614979
14,34.45276,-0.2816316,10.2175312,5.2872862
15,34.345289,-0.1504083,22.3694763,25.9862453
16,34.81456,-0.219185,21.0827217,22.7652746
17,34.3365,-0.2879617,12.7136602,12.7136602
18,34.34562,-0.23567384,11.6833458,11.78627572
19,34.52675,-0.26409568,16.1811638,18.8968926
20,34.5672,-0.27234,28.3718758,28.6757247
21,34.67734,-0.28058,25.3698616,27.9872681
22,34.452745,-0.28667,20.2672768,21.7891798
23,34.34366,-0.136,22.6752752,22.2849062
24,34.452567,-0.28705,0.4146805,0.7881581
25,34.6834,-0.33787,23.4221497,20.8827872
26,34.675372,-0.32962,33.6123867,42.6123867
27,34.34627,-0.51776,9.7556686,10.5642622
28,34.22376,-0.2749733,14.352726,17.7652742
29,34.16782,-0.2664918,24.5919514,21.2264722
30,34.56993,-0.1754863,19.7508106,20.992828
31,34.45237,-0.14808,29.3428097,19.3428097
32,34.4543,-0.1934752,13.4241199,23.093833
33,34.675628,-0.1246985,22.086887,26.5408688
34,34.782678,-0.2559218,31.9223988,30.8923988
35,34.8776235,-0.128549,4.9591715,5.1595917
36,34.4377,-0.2816316,20.546381,20.381546
37,34.56543,-0.1504083,13.6934929,8.4293492
38,34.6274,-0.219185,24.2780361,24.2780361
39,34.73321,-0.2879617,11.1544456,21.1544456
40,34.2806,-0.23567384,25.2988873,32.2988873
41,34.2291,-0.26409568,9.9113853,8.6223853
42,34.1776,-0.27234,14.289875,7.1277875
43,34.11261,-0.28058,33.2923622,31.2123622
44,34.20746,-0.28667,25.3210672,25.9610672
45,34.30231,-0.136,32.7623359,30.5531559
46,34.39716,-0.28705,30.6280708,30.6280708
47,34.49201,-0.33787,13.4792519,10.4792519
48,34.58686,-0.32962,7.2433366,7.3820229
49,34.68171,-0.51776,17.8262291,20.222397
50,35.2256,-0.23033,32.192482,27.552762
51,34.6334,-0.136,24.7712193,24.716781
52,34.9901,-0.28705,27.0684681,22.0684681
53,34.6333,-0.33787,29.1824885,22.7987151
54,34.5963,-0.32962,24.1124922,24.7814922
55,34.9845,-0.51776,17.9735985,15.8778282
56,34.5773,-0.2749733,29.6154175,31.186287
57,34.6762,-0.2664918,19.8738117,22.9871896
58,34.0926,-0.1754863,22.8110428,31.6735573
59,34.7268,-0.14808,25.3831978,29.7876385
60,34.23748,-0.1934752,20.2139473,20.6527897
61,34.83367,-0.1246985,21.3614979,20.3614979
62,34.22563,-0.2559218,10.2175312,5.2872862
63,34.88635,-0.128549,22.3694763,25.9862453
64,34.45276,-0.2816316,21.0827217,22.7652746
65,34.3459,-0.1504083,12.7136602,12.7136602
66,34.8456,-0.219185,11.6833458,11.78627572
67,34.33265,-0.2879617,16.1811638,18.8968926
68,34.34562,-0.23567384,28.3718758,28.6757247
69,34.782675,-0.26409568,25.3698616,27.9872681
70,34.7672,-0.27234,20.2672768,21.7891798
71,34.17734,-0.28058,22.6752752,22.2849062
72,34.2745,-0.28667,1.4146805,1.7881581
73,34.3686,-0.136,23.4221497,20.8827872
74,34.452567,-0.28705,36.6123867,39.6123867
75,34.6834,-0.33787,9.7556686,10.5642622
76,34.6772,-0.32962,17.352726,20.7652742
77,34.8627,-0.51776,24.5919514,21.2264722
78,34.22376,-0.2749733,19.7508106,20.992828
79,34.15782,-0.2664918,29.3428097,19.3428097
80,34.56993,-0.1754863,13.4241199,23.093833
81,34.45237,-0.14808,22.086887,26.5408688
82,34.4543,-0.1934752,31.9223988,30.8923988
83,34.675628,-0.1246985,4.9591715,5.1595917
84,34.782678,-0.2559218,20.546381,20.381546
85,34.8776235,-0.128549,13.6934929,8.4293492
86,34.4377,-0.2816316,24.2780361,24.2780361
87,34.56543,-0.1504083,11.1544456,21.1544456
88,34.6274,-0.219185,25.2988873,32.2988873
89,34.73321,-0.2879617,9.9113853,8.6223853
90,34.2806,-0.23567384,16.289875,12.1277875
91,34.2291,-0.26409568,33.2923622,31.2123622
92,34.1776,-0.27234,25.3210672,25.9610672
93,34.11261,-0.28058,32.7623359,30.5531559
94,34.20746,-0.28667,30.6280708,30.6280708
95,34.30231,-0.136,13.4792519,10.4792519
96,34.39716,-0.28705,7.2433366,7.3820229
97,34.49201,-0.33787,9.8262291,7.822397
98,34.58686,-0.32962,32.192482,27.552762
99,34.68171,-0.51776,24.7712193,24.716781
100,34.77656,-0.2749733,27.0684681,22.0684681
101,34.6883,-0.136,21.1888885,20.7987151
102,34.8431,-0.28705,24.1124922,24.7814922
103,34.6333,-0.33787,17.9735985,15.8778282
104,34.1963,-0.32962,29.6154175,25.035944
105,34.445,-0.51776,19.8738117,22.9871896
106,34.5773,-0.2749733,22.8110428,31.6735573
107,34.6762,-0.2664918,25.3831978,29.7876385
108,34.76276,-0.1754863,20.2139473,20.6527897
109,34.67268,-0.14808,21.3614979,20.3614979
110,34.23748,-0.1934752,10.2175312,5.2872862
111,34.3367,-0.1246985,22.3694763,25.9862453
112,34.22563,-0.2559218,21.0827217,22.7652746
113,34.7635,-0.128549,12.7136602,12.7136602
114,34.45276,-0.2816316,11.6833458,11.78627572
115,34.345289,-0.1504083,16.1811638,18.8968926
116,34.81456,-0.219185,28.3718758,28.6757247
117,34.3365,-0.2879617,25.3698616,27.9872681
118,34.34562,-0.23567384,20.2672768,21.7891798
119,34.52675,-0.26409568,22.6752752,22.2849062
120,34.5672,-0.27234,2.4146805,1.9881581
121,34.67734,-0.28058,23.4221497,20.8827872
122,34.452745,-0.28667,31.6123867,39.6123867
123,34.34366,-0.136,9.7556686,10.5642622
124,34.452567,-0.28705,16.352726,18.7652742
125,34.6834,-0.33787,24.5919514,21.2264722
126,34.675372,-0.32962,19.7508106,20.992828
127,34.34627,-0.51776,29.3428097,19.3428097
128,34.22376,-0.2749733,13.4241199,23.093833
129,34.16782,-0.2664918,22.086887,26.5408688
130,34.56993,-0.1754863,31.9223988,30.8923988
131,34.45237,-0.14808,4.9591715,5.1595917
132,34.4543,-0.1934752,20.546381,20.381546
133,34.675628,-0.1246985,13.6934929,8.4293492
134,34.782678,-0.2559218,24.2780361,24.2780361
135,34.8776235,-0.128549,11.1544456,21.1544456
136,34.4377,-0.2816316,31.2988873,32.2988873
137,34.56543,-0.1504083,9.9113853,8.6223853
138,34.6274,-0.219185,16.289875,13.1277875
139,34.73321,-0.2879617,33.2923622,31.2123622
140,34.2806,-0.23567384,25.3210672,25.9610672
141,34.2291,-0.26409568,32.7623359,30.5531559
142,34.1776,-0.27234,30.6280708,30.6280708
143,34.11261,-0.28058,13.4792519,10.4792519
144,34.20746,-0.28667,7.2433366,7.3820229
145,34.30231,-0.136,6.8262291,5.622397
146,34.39716,-0.28705,32.192482,27.552762
147,34.49201,-0.33787,24.7712193,24.716781
148,34.58686,-0.32962,27.0684681,22.0684681
149,34.68171,-0.51776,27.1888885,25.7987151
150,34.77656,-0.2749733,24.1124922,24.7814922
151,34.6883,-0.136,17.9735985,15.8778282
152,34.8431,-0.28705,29.6154175,31.186287
153,34.6333,-0.33787,19.8738117,22.9871896
154,34.1963,-0.32962,22.8110428,31.6735573
155,34.445,-0.51776,25.3831978,29.7876385
156,34.5773,-0.2749733,20.2139473,20.6527897
157,34.6762,-0.2664918,21.3614979,20.3614979
158,34.76276,-0.1754863,10.2175312,5.2872862
159,34.67268,-0.14808,22.3694763,25.9862453
160,34.23748,-0.1934752,33.0827217,22.7652746
161,34.3367,-0.1246985,12.7136602,12.7136602
162,34.22563,-0.2559218,11.6833458,11.78627572
163,34.7635,-0.128549,16.1811638,18.8968926
164,34.45276,-0.2816316,28.3718758,28.6757247
165,34.345289,-0.1504083,25.3698616,27.9872681
166,34.81456,-0.219185,20.2672768,21.7891798
167,34.3365,-0.2879617,22.6752752,22.2849062
168,34.34562,-0.23567384,3.5146805,3.9881581
169,34.52675,-0.26409568,23.4221497,20.8827872
170,34.5672,-0.27234,33.6123867,38.6123867
171,34.67734,-0.28058,9.7556686,10.5642622
172,34.452745,-0.28667,16.352726,18.7652742
173,34.34366,-0.136,24.5919514,21.2264722
174,34.452567,-0.28705,19.7508106,20.992828
175,34.6834,-0.33787,29.3428097,19.3428097
176,34.675372,-0.32962,13.4241199,23.093833
177,34.34627,-0.51776,22.086887,26.5408688
178,34.22376,-0.2749733,31.9223988,30.8923988
179,34.16782,-0.2664918,4.9591715,5.1595917
180,34.56993,-0.1754863,20.546381,20.381546
181,34.45237,-0.14808,13.6934929,8.4293492
182,34.4543,-0.1934752,24.2780361,24.2780361
183,34.675628,-0.1246985,11.1544456,21.1544456
184,34.782678,-0.2559218,26.2988873,31.2988873
185,34.8776235,-0.128549,9.9113853,8.6223853
186,34.4377,-0.2816316,16.289875,12.1277875
187,34.56543,-0.1504083,33.2923622,31.2123622
188,34.6274,-0.219185,25.3210672,25.9610672
189,34.73321,-0.2879617,32.7623359,30.5531559
190,34.2806,-0.23567384,30.6280708,30.6280708
191,34.2291,-0.26409568,13.4792519,10.4792519
192,34.1776,-0.27234,7.2433366,7.3820229
193,34.11261,-0.28058,6.8262291,5.1222397
194,34.20746,-0.28667,32.192482,27.552762
195,34.30231,-0.136,24.7712193,24.716781
196,34.39716,-0.28705,27.0684681,22.0684681
197,34.49201,-0.33787,30.1888885,24.7987151
198,34.58686,-0.32962,24.1124922,24.7814922
199,34.68171,-0.51776,17.9735985,15.8778282
200,34.77656,-0.2749733,29.6154175,31.186287
201,34.6883,-0.136,19.8738117,22.9871896
202,34.8431,-0.28705,22.8110428,31.6735573
